key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1000417477,Tobacco smoking leads to extensive genome-wide changes in DNA methylation.,2013,,,PloS one,1932-6203 (Electronic),8,5,e63812,Zeilinger S and Kühnel B and Klopp N and Baurecht H and Kleinschmidt A and Gieger C and Weidinger S and Lattka E and Adamski J and Peters A and Strauch K and Waldenberger M and Illig T,https://pubmed.ncbi.nlm.nih.gov/23691101/,eng,,United States,"Environmental factors such as tobacco smoking may have long-lasting effects on DNA methylation patterns, which might lead to changes in gene expression and in a broader context to the development or progression of various diseases. We conducted an epigenome-wide association study (EWAs) comparing current, former and never smokers from 1793 participants of the population-based KORA F4 panel, with replication in 479 participants from the KORA F3 panel, carried out by the 450K BeadChip with genomic DNA obtained from whole blood. We observed wide-spread differences in the degree of site-specific methylation (with p-values ranging from 9.31E-08 to 2.54E-182) as a function of tobacco smoking in each of the 22 autosomes, with the percent of variance explained by smoking ranging from 1.31 to 41.02. Depending on cessation time and pack-years, methylation levels in former smokers were found to be close to the ones seen in never smokers. In addition, methylation-specific protein binding patterns were observed for cg05575921 within AHRR, which had the highest level of detectable changes in DNA methylation associated with tobacco smoking (-24.40% methylation; p = 2.54E-182), suggesting a regulatory role for gene expression. The results of our study confirm the broad effect of tobacco smoking on the human organism, but also show that quitting tobacco smoking presumably allows regaining the DNA methylation state of never smokers.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: smoking",10.1371/journal.pone.0063812,"Adult;Aged;Alkaline Phosphatase/genetics;Analysis of Variance;Basic Helix-Loop-Helix Transcription Factors/genetics;CpG Islands/genetics;DNA Methylation/*drug effects;Electrophoretic Mobility Shift Assay;Epigenomics/methods;Female;GPI-Linked Proteins/genetics;Gene Expression Regulation/*drug effects/genetics;Genome, Human/drug effects/*genetics;Humans;Isoenzymes/genetics;Linear Models;Male;Middle Aged;Oligonucleotide Array Sequence Analysis;Receptors, Thrombin/genetics;Repressor Proteins/genetics;Sex Factors;Smoking/*adverse effects;Smoking Cessation/statistics & numerical data;Time Factors;DNA (Cytosine-5-)-Methyltransferase;Smoke;Smoking;Genome;Genomics",23691101,PMC3656907
rayyan-1000417478,DNA methylation profiling implicates exposure to PCBs in the pathogenesis of B-cell chronic lymphocytic leukemia.,2019,5,,Environment international,1873-6750 (Electronic),126,,24-36,Georgiadis P and Gavriil M and Rantakokko P and Ladoukakis E and Botsivali M and Kelly RS and Bergdahl IA and Kiviranta H and Vermeulen RCH and Spaeth F and Hebbels DGAJ and Kleinjans JCS and de Kok TMCM and Palli D and Vineis P and Kyrtopoulos SA,https://pubmed.ncbi.nlm.nih.gov/30776747/,eng,,Netherlands,"OBJECTIVES: To characterize the impact of PCB exposure on DNA methylation in peripheral blood leucocytes and to evaluate the corresponding changes in relation to possible health effects, with a focus on B-cell lymphoma. METHODS: We conducted an epigenome-wide association study on 611 adults free of diagnosed disease, living in Italy and Sweden, in whom we also measured plasma concentrations of 6 PCB congeners, DDE and hexachlorobenzene. RESULTS: We identified 650 CpG sites whose methylation correlates strongly (FDR < 0.01) with plasma concentrations of at least one PCB congener. Stronger effects were observed in males and in Sweden. This epigenetic exposure profile shows extensive and highly statistically significant overlaps with published profiles associated with the risk of future B-cell chronic lymphocytic leukemia (CLL) as well as with clinical CLL (38 and 28 CpG sites, respectively). For all these sites, the methylation changes were in the same direction for increasing exposure and for higher disease risk or clinical disease status, suggesting an etiological link between exposure and CLL. Mediation analysis reinforced the suggestion of a causal link between exposure, changes in DNA methylation and disease. Disease connectivity analysis identified multiple additional diseases associated with differentially methylated genes, including melanoma for which an etiological link with PCB exposure is established, as well as developmental and neurological diseases for which there is corresponding epidemiological evidence. Differentially methylated genes include many homeobox genes, suggesting that PCBs target stem cells. Furthermore, numerous polycomb protein target genes were hypermethylated with increasing exposure, an effect known to constitute an early marker of carcinogenesis. CONCLUSIONS: This study provides mechanistic evidence in support of a link between exposure to PCBs and the etiology of CLL and underlines the utility of omic profiling in the evaluation of the potential toxicity of environmental chemicals.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: PCR exposure",10.1016/j.envint.2019.01.068,"Adult;*DNA Methylation;Female;Humans;Italy;Leukemia, Lymphocytic, Chronic, B-Cell/*chemically induced;Male;Middle Aged;Polychlorinated Biphenyls/*toxicity;Sweden;DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;Leukemia, Lymphoid;DNA;DNA, A-Form;DNA, B-Form;DNA Methylation",30776747,PMC7063446
rayyan-1000417500,Epigenome-wide association study reveals a molecular signature of response to phylloquinone (vitamin K1) supplementation.,2020,8,,Epigenetics,1559-2308 (Electronic),15,8,859-870,Westerman K and Kelly JM and Ordovás JM and Booth SL and DeMeo DL,https://pubmed.ncbi.nlm.nih.gov/32090699/,eng,,United States,"Evidence suggests there are roles for vitamin K in various chronic disease outcomes, but population-level diet and supplement recommendations are difficult to determine due to high levels of variability in measures of status and response to intake compared to other nutrients. In this preliminary investigation, a blood-based epigenome-wide association study (EWAS) comparing responders and non-responders to phylloquinone (vitamin K1) supplementation (NCT00183001) was undertaken in order to better understand the molecular underpinnings of this observed variability. Responders (n = 24) and non-responders (n = 24) were identified in a prior 3-year phylloquinone supplementation trial based on their changes in plasma phylloquinone concentrations. Differential DNA methylation was identified in multiple regions with previously unknown relationships to phylloquinone absorption and metabolism, such as at the TMEM263 locus. A hypothesis-driven analysis of lipid-related genes highlighted a site in the NPC1L1 gene, supplementing existing evidence for its role in phylloquinone absorption. Furthermore, an EWAS for baseline plasma phylloquinone concentrations revealed a strong correlation between the epigenomic signatures of phylloquinone baseline status and response to supplementation. This work can guide future epigenomic research on vitamin K and contributes to the development of more personalized dietary recommendations for vitamin K.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: supplementation",10.1080/15592294.2020.1734714,"Aged;Aged, 80 and over;CpG Islands;DNA Methylation/drug effects;*Epigenome;Female;Genetic Loci;Humans;Male;Membrane Transport Proteins/genetics;Middle Aged;Vitamin K 1/administration & dosage/*pharmacology;Vitamins/administration & dosage/*pharmacology;Vitamin E;Tocopherols;Vitamins;Vitamin B Complex",32090699,PMC7518702
rayyan-1000417501,Frequency of heavy vehicle traffic and association with DNA methylation at age 18 years in a subset of the Isle of Wight birth cohort.,2018,10,,Environmental epigenetics,2058-5888 (Electronic),4,4,dvy028,Commodore A and Mukherjee N and Chung D and Svendsen E and Vena J and Pearce J and Roberts J and Arshad SH and Karmaus W,https://pubmed.ncbi.nlm.nih.gov/30697444/,eng,,England,"Assessment of changes in DNA methylation (DNA-m) has the potential to identify adverse environmental exposures. To examine DNA-m among a subset of participants (n = 369) in the Isle of Wight birth cohort who reported variable near resident traffic frequencies. We used self-reported frequencies of heavy vehicles passing by the homes of study subjects as a proxy measure for TRAP, which were: never, seldom, 10 per day, 1-9 per hour and >10 per hour. Methylation of cytosine-phosphate-guanine (CpG) dinucleotide sequences in the DNA was assessed from blood samples collected at age 18 years (n = 369) in the F1 generation. We conducted an epigenome wide association study to examine CpGs related to the frequency of heavy vehicles passing by subjects' homes, and employed multiple linear regression models to assess potential associations. We repeated some of these analysis in the F2 generation (n = 140). Thirty-five CpG sites were associated with heavy vehicular traffic. After adjusting for confounders, we found 23 CpGs that were more methylated, and 11 CpGs that were less methylated with increasing heavy vehicular traffic frequency among all subjects. In the F2 generation, 2 of 31 CpGs were associated with traffic frequencies and the direction of the effect was the same as in the F1 subset while differential methylation of 7 of 31 CpG sites correlated with gene expression. Our findings reveal differences in DNA-m in participants who reported higher heavy vehicular traffic frequencies when compared to participants who reported lower frequencies.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: vehicle traffic",10.1093/eep/dvy028,"DNA (Cytosine-5-)-Methyltransferase;DNA, B-Form;DNA, A-Form;Methylation;DNA",30697444,PMC6343046
rayyan-1000417515,Associations of Alcohol Consumption With Epigenome-Wide DNA Methylation and Epigenetic Age Acceleration: Individual-Level and Co-twin Comparison Analyses.,2021,2,,"Alcoholism, clinical and experimental research",1530-0277 (Electronic),45,2,318-328,Stephenson M and Bollepalli S and Cazaly E and Salvatore JE and Barr P and Rose RJ and Dick D and Kaprio J and Ollikainen M,https://pubmed.ncbi.nlm.nih.gov/33277923/,eng,,England,"BACKGROUND: DNA methylation may play a role in the progression from normative to problematic drinking and underlie adverse health outcomes associated with alcohol misuse. We examined the association between alcohol consumption and DNA methylation patterns using 3 approaches: a conventional epigenome-wide association study (EWAS); a co-twin comparison design, which controls for genetic and environmental influences that twins share; and a regression of age acceleration, defined as a discrepancy between chronological age and DNA methylation age, on alcohol consumption. METHODS: Participants came from the Finnish Twin Cohorts (FinnTwin12/FinnTwin16; N = 1,004; 55% female; average age = 23 years). Individuals reported the number of alcoholic beverages consumed in the past week, and epigenome-wide DNA methylation was assessed in whole blood using the Infinium HumanMethylation450 BeadChip. RESULTS: In the EWAS, alcohol consumption was significantly related to methylation at 24 CpG sites. When evaluating whether differences between twin siblings (185 monozygotic pairs) in alcohol consumption predicted differences in DNA methylation, co-twin comparisons replicated 4 CpG sites from the EWAS and identified 23 additional sites. However, when we examined qualitative differences in drinking patterns between twins (heavy drinker vs. light drinker/abstainer or moderate drinker vs. abstainer; 44 pairs), methylation patterns did not significantly differ within twin pairs. Finally, individuals who reported higher alcohol consumption also exhibited greater age acceleration, though results were no longer significant after controlling for genetic and environmental influences shared by co-twins. CONCLUSIONS: Our analyses offer insight into the associations between epigenetic variation and levels of alcohol consumption in young adulthood.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: alcohol",10.1111/acer.14528,"Adult;Aging/blood/*genetics;Alcohol Drinking/blood/epidemiology/*genetics;Cohort Studies;Cross-Sectional Studies;DNA Methylation/*physiology;Epigenesis, Genetic/physiology;Epigenome/*physiology;Female;Finland/epidemiology;Genome-Wide Association Study/methods;Humans;Longitudinal Studies;Male;Twins, Dizygotic/*genetics;Twins, Monozygotic/*genetics;Young Adult;DNA (Cytosine-5-)-Methyltransferase;Twins;Alcoholics",33277923,PMC8120951
rayyan-1000417516,Gaseous air pollutants and DNA methylation in a methylome-wide association study of an ethnically and environmentally diverse population of U.S. adults.,2022,9,,Environmental research,1096-0953 (Electronic),212,,113360,Holliday KM and Gondalia R and Baldassari A and Justice AE and Stewart JD and Liao D and Yanosky JD and Jordahl KM and Bhatti P and Assimes TL and Pankow JS and Guan W and Fornage M and Bressler J and North KE and Conneely KN and Li Y and Hou L and Vokonas PS and Ward-Caviness CK and Wilson R and Wolf K and Waldenberger M and Cyrys J and Peters A and Boezen HM and Vonk JM and Sayols-Baixeras S and Lee M and Baccarelli AA and Whitsel EA,https://pubmed.ncbi.nlm.nih.gov/35500859/,eng,,Netherlands,"Epigenetic mechanisms may underlie air pollution-health outcome associations. We estimated gaseous air pollutant-DNA methylation (DNAm) associations using twelve subpopulations within Women's Health Initiative (WHI) and Atherosclerosis Risk in Communities (ARIC) cohorts (n = 8397; mean age 61.3 years; 83% female; 46% African-American, 46% European-American, 8% Hispanic/Latino). We used geocoded participant address-specific mean ambient carbon monoxide (CO), nitrogen oxides (NO(2); NOx), ozone (O(3)), and sulfur dioxide (SO(2)) concentrations estimated over the 2-, 7-, 28-, and 365-day periods before collection of blood samples used to generate Illumina 450 k array leukocyte DNAm measurements. We estimated methylome-wide, subpopulation- and race/ethnicity-stratified pollutant-DNAm associations in multi-level, linear mixed-effects models adjusted for sociodemographic, behavioral, meteorological, and technical covariates. We combined stratum-specific estimates in inverse variance-weighted meta-analyses and characterized significant associations (false discovery rate; FDR<0.05) at Cytosine-phosphate-Guanine (CpG) sites without among-strata heterogeneity (P(Cochran's Q) > 0.05). We attempted replication in the Cooperative Health Research in Region of Augsburg (KORA) study and Normative Aging Study (NAS). We observed a -0.3 (95% CI: -0.4, -0.2) unit decrease in percent DNAm per interquartile range (IQR, 7.3 ppb) increase in 28-day mean NO(2) concentration at cg01885635 (chromosome 3; regulatory region 290 bp upstream from ZNF621; FDR = 0.03). At intragenic sites cg21849932 (chromosome 20; LIME1; intron 3) and cg05353869 (chromosome 11; KLHL35; exon 2), we observed a -0.3 (95% CI: -0.4, -0.2) unit decrease (FDR = 0.04) and a 1.2 (95% CI: 0.7, 1.7) unit increase (FDR = 0.04), respectively, in percent DNAm per IQR (17.6 ppb) increase in 7-day mean ozone concentration. Results were not fully replicated in KORA and NAS. We identified three CpG sites potentially susceptible to gaseous air pollution-induced DNAm changes near genes relevant for cardiovascular and lung disease. Further harmonized investigations with a range of gaseous pollutants and averaging durations are needed to determine the effect of gaseous air pollutants on DNA methylation and ultimately gene expression.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: air pollution",10.1016/j.envres.2022.113360,Adult;*Air Pollutants/analysis/toxicity;*Air Pollution/analysis;DNA Methylation;Epigenome;Female;Humans;Male;Middle Aged;Nitrogen Dioxide/analysis;*Ozone/analysis/toxicity;Particulate Matter/analysis;DNA (Cytosine-5-)-Methyltransferase;Methylation,35500859,PMC9354583
rayyan-1000417523,Dioxin-like compound exposures and DNA methylation in the Anniston Community Health Survey Phase II.,2020,11,10,The Science of the total environment,1879-1026 (Electronic),742,,140424,Pittman GS and Wang X and Campbell MR and Coulter SJ and Olson JR and Pavuk M and Birnbaum LS and Bell DA,https://pubmed.ncbi.nlm.nih.gov/32629249/,eng,,Netherlands,"The Anniston Community Health Survey (ACHS-I) was initially conducted from 2005 to 2007 to assess polychlorinated biphenyl (PCB) exposures in Anniston, Alabama residents. In 2014, a follow-up study (ACHS-II) was conducted to measure the same PCBs as in ACHS-I and additional compounds e.g., polychlorinated dibenzo-p-dioxins (PCDDs), polychlorinated dibenzofurans (PCDFs), and dioxin-like non-ortho (cPCBs) substituted PCBs. In this epigenome-wide association study (EWAS), we examined the associations between PCDD, PCDF, and PCB exposures and DNA methylation. Whole blood DNA methylation was measured using Illumina EPIC arrays (n=292). We modeled lipid-adjusted toxic equivalencies (TEQs) for: ΣDioxins (sum of 28 PCDDs, PCDFs, cPCBs, and mPCBs), PCDDs, PCDFs, cPCBs, and mPCBs using robust multivariable linear regression adjusting for age, race, sex, smoking, bisulfite conversion batch, and estimated percentages of six blood cell types. Among all exposures we identified 10 genome-wide (Bonferroni p≤6.74E-08) and 116 FDR (p≤5.00E-02) significant associations representing 10 and 113 unique CpGs, respectively. Of the 10 genome-wide associations, seven (70%) occurred in the PCDDs and four (40%) of these associations had an absolute differential methylation ≥1.00%, based on the methylation difference between the highest and lowest exposure quartiles. Most of the associations (six, 60%) represented hypomethylation changes. Of the 10 unique CpGs, eight (80%) were in genes shown to be associated with dioxins and/or PCBs based on data from the 2019 Comparative Toxicogenomics Database. In this study, we have identified a set of CpGs in blood DNA that may be particularly susceptible to dioxin, furan, and dioxin-like PCB exposures.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: Dioxin-like compound exposure",10.1016/j.scitotenv.2020.140424,"Alabama;*Benzofurans;DNA Methylation;Dibenzofurans, Polychlorinated;*Dioxins;Follow-Up Studies;Polychlorinated Biphenyls/*analysis;Public Health;Surveys and Questionnaires;DNA (Cytosine-5-)-Methyltransferase;Health Surveys",32629249,PMC7574543
rayyan-1000417534,Persistent variations of blood DNA methylation associated with treatment exposures and risk for cardiometabolic outcomes in long-term survivors of childhood cancer in the St. Jude Lifetime Cohort.,2021,4,6,Genome medicine,1756-994X (Electronic),13,1,53,Song N and Hsu CW and Pan H and Zheng Y and Hou L and Sim JA and Li Z and Mulder H and Easton J and Walker E and Neale G and Wilson CL and Ness KK and Krull KR and Srivastava DK and Yasui Y and Zhang J and Hudson MM and Robison LL and Huang IC and Wang Z,https://pubmed.ncbi.nlm.nih.gov/33823916/,eng,,England,"BACKGROUND: It is well-established that cancer treatment substantially increases the risk of long-term adverse health outcomes among childhood cancer survivors. However, there is limited research on the underlying mechanisms. To elucidate the pathophysiology and a possible causal pathway from treatment exposures to cardiometabolic conditions, we conducted epigenome-wide association studies (EWAS) to identify the DNA methylation (DNAm) sites associated with cancer treatment exposures and examined whether treatment-associated DNAm sites mediate associations between specific treatments and cardiometabolic conditions. METHODS: We included 2052 survivors (median age 33.7 years) of European ancestry from the St. Jude Lifetime Cohort Study, a retrospective hospital-based study with prospective clinical follow-up. Cumulative doses of chemotherapy and region-specific radiation were abstracted from medical records. Seven cardiometabolic conditions were clinically assessed. DNAm profile was measured using MethylationEPIC BeadChip with blood-derived DNA. RESULTS: By performing multiple treatment-specific EWAS, we identified 935 5'-cytosine-phosphate-guanine-3' (CpG) sites mapped to 538 genes/regions associated with one or more cancer treatments at the epigenome-wide significance level (p < 9 × 10(-8)). Among the treatment-associated CpGs, 8 were associated with obesity, 63 with hypercholesterolemia, and 17 with hypertriglyceridemia (false discovery rate-adjusted p < 0.05). We observed substantial mediation by methylation at four independent CpGs (cg06963130, cg21922478, cg22976567, cg07403981) for the association between abdominal field radiotherapy (abdominal-RT) and risk of hypercholesterolemia (70.3%) and by methylation at three CpGs (cg19634849, cg13552692, cg09853238) for the association between abdominal-RT and hypertriglyceridemia (54.6%). In addition, three CpGs (cg26572901, cg12715065, cg21163477) partially mediated the association between brain-RT and obesity with a 32.9% mediation effect, and two CpGs mediated the association between corticosteroids and obesity (cg22351187, 14.2%) and between brain-RT and hypertriglyceridemia (cg13360224, 10.5%). Notably, several mediator CpGs reside in the proximity of well-established dyslipidemia genes: cg21922478 (ITGA1) and cg22976567 (LMNA). CONCLUSIONS: In childhood cancer survivors, cancer treatment exposures are associated with DNAm patterns present decades following the exposure. Treatment-associated DNAm sites may mediate the causal pathway from specific treatment exposures to certain cardiometabolic conditions, suggesting the utility of DNAm sites as risk predictors and potential mechanistic targets for future intervention studies.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: cancer treatment",10.1186/s13073-021-00875-1,*Cancer Survivors;*Cardiometabolic Risk Factors;Cohort Studies;DNA Methylation/*genetics;Female;Humans;Male;Treatment Outcome;DNA (Cytosine-5-)-Methyltransferase;Survivors;Methylation,33823916,PMC8025387
rayyan-1000417608,Blood lead levels in Peruvian adults are associated with proximity to mining and DNA methylation.,2021,10,,Environment international,1873-6750 (Electronic),155,,106587,Childebayeva A and Goodrich JM and Chesterman N and Leon-Velarde F and Rivera-Ch M and Kiyamu M and Brutsaert TD and Bigham AW and Dolinoy DC,https://pubmed.ncbi.nlm.nih.gov/33940396/,eng,,Netherlands,"BACKGROUND: Inorganic lead (Pb) is common in the environment, and is toxic to neurological, renal, and cardiovascular systems. Pb exposure influences the epigenome with documented effects on DNA methylation (DNAm). We assessed the impact of low levels of Pb exposure on DNAm among non-miner individuals from two locations in Peru: Lima, the capital, and Cerro de Pasco, a highland mining town, to study the effects of Pb exposure on physiological outcomes and DNAm. METHODS: Pb levels were measured in whole blood (n = 305). Blood leukocyte DNAm was determined for 90 DNA samples using the Illumina MethylationEPIC chip. An epigenome-wide association study was performed to assess the relationship between Pb and DNAm. RESULTS: Individuals from Cerro de Pasco had higher Pb than individuals from Lima (p-value = 2.00E-16). Males had higher Pb than females (p-value = 2.36E-04). Pb was positively associated with hemoglobin (p-value = 8.60E-04). In Cerro de Pasco, blood Pb decreased with the distance from the mine (p-value = 0.04), and association with soil Pb was approaching significance (p-value = 0.08). We identified differentially methylated positions (DMPs) associated with genes SOX18, ZMIZ1, and KDM1A linked to neurological function. We also found 45 differentially methylated regions (DMRs), seven of which were associated with genes involved in metal ion binding and nine to neurological function and development. CONCLUSIONS: Our results demonstrate that even low levels of Pb can have a significant impact on the body including changes to DNAm. We report associations between Pb and hemoglobin, Pb and distance from mining, and between blood and soil Pb. We also report associations between loci- and region-specific DNAm and Pb.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: metal exposure",10.1016/j.envint.2021.106587,"Adult;*DNA Methylation;Epigenesis, Genetic;Epigenome;Female;Hispanic or Latino;Histone Demethylases;Humans;*Lead/toxicity;Male;Peru;SOXF Transcription Factors;DNA (Cytosine-5-)-Methyltransferase",33940396,PMC9903334
rayyan-1000417624,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles.,2021,,,Frontiers in psychiatry,1664-0640 (Print),12,,688464,Odintsova VV and Rebattu V and Hagenbeek FA and Pool R and Beck JJ and Ehli EA and van Beijsterveldt CEM and Ligthart L and Willemsen G and de Geus EJC and Hottenga JJ and Boomsma DI and van Dongen J,https://pubmed.ncbi.nlm.nih.gov/34393852/,eng,,Switzerland,"We examined the performance of methylation scores (MS) and polygenic scores (PGS) for birth weight, BMI, prenatal maternal smoking exposure, and smoking status to assess the extent to which MS could predict these traits and exposures over and above the PGS in a multi-omics prediction model. MS may be seen as the epigenetic equivalent of PGS, but because of their dynamic nature and sensitivity of non-genetic exposures may add to complex trait prediction independently of PGS. MS and PGS were calculated based on genotype data and DNA-methylation data in blood samples from adults (Illumina 450 K; N = 2,431; mean age 35.6) and in buccal samples from children (Illumina EPIC; N = 1,128; mean age 9.6) from the Netherlands Twin Register. Weights to construct the scores were obtained from results of large epigenome-wide association studies (EWASs) based on whole blood or cord blood methylation data and genome-wide association studies (GWASs). In adults, MSs in blood predicted independently from PGSs, and outperformed PGSs for BMI, prenatal maternal smoking, and smoking status, but not for birth weight. The largest amount of variance explained by the multi-omics prediction model was for current vs. never smoking (54.6%) of which 54.4% was captured by the MS. The two predictors captured 16% of former vs. never smoking initiation variance (MS:15.5%, PGS: 0.5%), 17.7% of prenatal maternal smoking variance (MS:16.9%, PGS: 0.8%), 11.9% of BMI variance (MS: 6.4%, PGS 5.5%), and 1.9% of birth weight variance (MS: 0.4%, PGS: 1.5%). In children, MSs in buccal samples did not show independent predictive value. The largest amount of variance explained by the two predictors was for prenatal maternal smoking (2.6%), where the MSs contributed 1.5%. These results demonstrate that blood DNA MS in adults explain substantial variance in current smoking, large variance in former smoking, prenatal smoking, and BMI, but not in birth weight. Buccal cell DNA methylation scores have lower predictive value, which could be due to different tissues in the EWAS discovery studies and target sample, as well as to different ages. This study illustrates the value of combining polygenic scores with information from methylation data for complex traits and exposure prediction.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: PMS",10.3389/fpsyt.2021.688464,"DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;Methylation;DNA, B-Form;DNA, A-Form;DNA",34393852,PMC8357987
rayyan-1000417646,Sex-specific DNA methylation differences in people exposed to polybrominated biphenyl.,2020,5,,Epigenomics,1750-192X (Electronic),12,9,757-770,Curtis SW and Gerkowicz SA and Cobb DO and Kilaru V and Terrell ML and Marder ME and Barr DB and Marsit CJ and Marcus M and Conneely KN and Smith AK,https://pubmed.ncbi.nlm.nih.gov/32496131/,eng,,England,"Aim: Michigan residents were exposed to polybrominated biphenyls (PBBs) when it was accidentally added to the food supply. Highly exposed individuals report sex-specific health problems, but the underlying biological mechanism behind these different health risks is not known. Materials and methods: DNA methylation in blood from 381 women and 277 men with PBB exposure was analyzed with the MethylationEPIC BeadChip. Results: 675 CpGs were associated with PBBs levels in males, while only 17 CpGs were associated in females (false discovery rate <0.05). No CpGs were associated in both sexes. These CpGs were enriched in different functional regions and transcription factor binding sites in each sex. Conclusion: Exposure to PBBs may have sex-specific effects on the epigenome that may underlie sex-specific adverse health outcomes.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: PBB exposure",10.2217/epi-2019-0179,"Adult;Aged;Aged, 80 and over;Binding Sites;CpG Islands;*DNA Methylation;Environmental Exposure;Female;Humans;Male;Middle Aged;Polybrominated Biphenyls/*toxicity;*Sex Characteristics;Transcription Factors/metabolism;Young Adult;DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;Methylation;DNA, B-Form;DNA, A-Form",32496131,PMC7607410
rayyan-1000417653,DNA methylation levels and long-term trihalomethane exposure in drinking water: an epigenome-wide association study.,2015,,,Epigenetics,1559-2308 (Electronic),10,7,650-61,Salas LA and Bustamante M and Gonzalez JR and Gracia-Lavedan E and Moreno V and Kogevinas M and Villanueva CM,https://pubmed.ncbi.nlm.nih.gov/26039576/,eng,,United States,"Trihalomethanes (THM) are undesired disinfection byproducts (DBPs) formed during water treatment. Mice exposed to DBPs showed global DNA hypomethylation and c-myc and c-jun gene-specific hypomethylation, while evidence of epigenetic effects in humans is scarce. We explored the association between lifetime THM exposure and DNA methylation through an epigenome-wide association study. We selected 138 population-based controls from a case-control study of colorectal cancer conducted in Barcelona, Spain, exposed to average lifetime THM levels ≤85 μg/L vs. >85 μg/L (N = 68 and N = 70, respectively). Mean age of participants was 70 years, and 54% were male. Average lifetime THM level in the exposure groups was 64 and 130 µg/L, respectively. DNA was extracted from whole blood and was bisulphite converted to measure DNA methylation levels using the Illumina HumanMethylation450 BeadChip. Data preprocessing was performed using RnBeads. Methylation was compared between exposure groups using empirical Bayes moderated linear regression for CpG sites and Gaussian kernel for CpG regions. ConsensusPathDB was used for gene set enrichment. Statistically significant differences in methylation between exposure groups was found in 140 CpG sites and 30 gene-related regions, after false discovery rate <0.05 and adjustment for age, sex, methylation first principal component, and blood cell proportion. The annotated genes were localized to several cancer pathways. Among them, 29 CpGs had methylation levels associated with THM levels (|Δβ|≥0.05) located in 11 genes associated with cancer in other studies. Our results suggest that THM exposure may affect DNA methylation in genes related to tumors, including colorectal and bladder cancers. Future confirmation studies are required.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: THM exposure",10.1080/15592294.2015.1057672,"Aged;Aged, 80 and over;Case-Control Studies;Colorectal Neoplasms/genetics;CpG Islands;*DNA Methylation;Drinking Water/*chemistry;*Environmental Exposure;Epigenesis, Genetic/*drug effects;Female;Genome-Wide Association Study;Humans;Male;Middle Aged;Spain;Trihalomethanes/*toxicity;Urinary Bladder Neoplasms/genetics;Water Pollutants, Chemical/*toxicity;DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;DNA;Drinking;Methylation;DNA Methylation",26039576,PMC4622514
