key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1000417501,Frequency of heavy vehicle traffic and association with DNA methylation at age 18 years in a subset of the Isle of Wight birth cohort.,2018,10,,Environmental epigenetics,2058-5888 (Electronic),4,4,dvy028,Commodore A and Mukherjee N and Chung D and Svendsen E and Vena J and Pearce J and Roberts J and Arshad SH and Karmaus W,https://pubmed.ncbi.nlm.nih.gov/30697444/,eng,,England,"Assessment of changes in DNA methylation (DNA-m) has the potential to identify adverse environmental exposures. To examine DNA-m among a subset of participants (n = 369) in the Isle of Wight birth cohort who reported variable near resident traffic frequencies. We used self-reported frequencies of heavy vehicles passing by the homes of study subjects as a proxy measure for TRAP, which were: never, seldom, 10 per day, 1-9 per hour and >10 per hour. Methylation of cytosine-phosphate-guanine (CpG) dinucleotide sequences in the DNA was assessed from blood samples collected at age 18 years (n = 369) in the F1 generation. We conducted an epigenome wide association study to examine CpGs related to the frequency of heavy vehicles passing by subjects' homes, and employed multiple linear regression models to assess potential associations. We repeated some of these analysis in the F2 generation (n = 140). Thirty-five CpG sites were associated with heavy vehicular traffic. After adjusting for confounders, we found 23 CpGs that were more methylated, and 11 CpGs that were less methylated with increasing heavy vehicular traffic frequency among all subjects. In the F2 generation, 2 of 31 CpGs were associated with traffic frequencies and the direction of the effect was the same as in the F1 subset while differential methylation of 7 of 31 CpG sites correlated with gene expression. Our findings reveal differences in DNA-m in participants who reported higher heavy vehicular traffic frequencies when compared to participants who reported lower frequencies.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: vehicle traffic",10.1093/eep/dvy028,"DNA (Cytosine-5-)-Methyltransferase;DNA, B-Form;DNA, A-Form;Methylation;DNA",30697444,PMC6343046
rayyan-1000417504,Maternal Glycemic Dysregulation During Pregnancy and Neonatal Blood DNA Methylation: Meta-analyses of Epigenome-Wide Association Studies.,2022,3,1,Diabetes care,1935-5548 (Electronic),45,3,614-623,Tobi EW and Juvinao-Quintero DL and Ronkainen J and Ott R and Alfano R and Canouil M and Geurtsen ML and Khamis A and Küpers LK and Lim IY and Perron P and Pesce G and Tuhkanen J and Starling AP and Andrew T and Binder E and Caiazzo R and Chan JKY and Gaillard R and Gluckman PD and Keikkala E and Karnani N and Mustaniemi S and Nawrot TS and Pattou F and Plusquin M and Raverdy V and Tan KH and Tzala E and Raikkonen K and Winkler C and Ziegler AG and Annesi-Maesano I and Bouchard L and Chong YS and Dabelea D and Felix JF and Heude B and Jaddoe VWV and Lahti J and Reimann B and Vääräsmäki M and Bonnefond A and Froguel P and Hummel S and Kajantie E and Jarvelin MR and Steegers-Theunissen RPM and Howe CG and Hivert MF and Sebert S,https://pubmed.ncbi.nlm.nih.gov/35104326/,eng,,United States,"OBJECTIVE: Maternal glycemic dysregulation during pregnancy increases the risk of adverse health outcomes in her offspring, a risk thought to be linearly related to maternal hyperglycemia. It is hypothesized that changes in offspring DNA methylation (DNAm) underline these associations. RESEARCH DESIGN AND METHODS: To address this hypothesis, we conducted fixed-effects meta-analyses of epigenome-wide association study (EWAS) results from eight birth cohorts investigating relationships between cord blood DNAm and fetal exposure to maternal glucose (Nmaximum = 3,503), insulin (Nmaximum = 2,062), and area under the curve of glucose (AUCgluc) following oral glucose tolerance tests (Nmaximum = 1,505). We performed lookup analyses for identified cytosine-guanine dinucleotides (CpGs) in independent observational cohorts to examine associations between DNAm and cardiometabolic traits as well as tissue-specific gene expression. RESULTS: Greater maternal AUCgluc was associated with lower cord blood DNAm at neighboring CpGs cg26974062 (β [SE] -0.013 [2.1 × 10-3], P value corrected for false discovery rate [PFDR] = 5.1 × 10-3) and cg02988288 (β [SE]-0.013 [2.3 × 10-3], PFDR = 0.031) in TXNIP. These associations were attenuated in women with GDM. Lower blood DNAm at these two CpGs near TXNIP was associated with multiple metabolic traits later in life, including type 2 diabetes. TXNIP DNAm in liver biopsies was associated with hepatic expression of TXNIP. We observed little evidence of associations between either maternal glucose or insulin and cord blood DNAm. CONCLUSIONS: Maternal hyperglycemia, as reflected by AUCgluc, was associated with lower cord blood DNAm at TXNIP. Associations between DNAm at these CpGs and metabolic traits in subsequent lookup analyses suggest that these may be candidate loci to investigate in future causal and mediation analyses.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Maternal,cord blood",10.2337/dc21-1701,"DNA Methylation/genetics;*Diabetes Mellitus, Type 2/metabolism;*Diabetes, Gestational/genetics/metabolism;Epigenesis, Genetic;Epigenome;Female;Fetal Blood/metabolism;Humans;Infant, Newborn;Pregnancy;DNA (Cytosine-5-)-Methyltransferase;DNA, B-Form;DNA, A-Form",35104326,PMC8918264
rayyan-1000417510,recountmethylation enables flexible analysis of public blood DNA methylation array data.,2023,,,Bioinformatics advances,2635-0041 (Electronic),3,1,vbad020,Maden SK and Walsh B and Ellrott K and Hansen KD and Thompson RF and Nellore A,https://pubmed.ncbi.nlm.nih.gov/36874953/,eng,,England,"SUMMARY: Thousands of DNA methylation (DNAm) array samples from human blood are publicly available on the Gene Expression Omnibus (GEO), but they remain underutilized for experiment planning, replication and cross-study and cross-platform analyses. To facilitate these tasks, we augmented our recountmethylation R/Bioconductor package with 12 537 uniformly processed EPIC and HM450K blood samples on GEO as well as several new features. We subsequently used our updated package in several illustrative analyses, finding (i) study ID bias adjustment increased variation explained by biological and demographic variables, (ii) most variation in autosomal DNAm was explained by genetic ancestry and CD4+ T-cell fractions and (iii) the dependence of power to detect differential methylation on sample size was similar for each of peripheral blood mononuclear cells (PBMC), whole blood and umbilical cord blood. Finally, we used PBMC and whole blood to perform independent validations, and we recovered 38-46% of differentially methylated probes between sexes from two previously published epigenome-wide association studies. AVAILABILITY AND IMPLEMENTATION: Source code to reproduce the main results are available on GitHub (repo: recountmethylation_flexible-blood-analysis_manuscript; url: https://github.com/metamaden/recountmethylation_flexible-blood-analysis_manuscript). All data was publicly available and downloaded from the Gene Expression Omnibus (https://www.ncbi.nlm.nih.gov/geo/). Compilations of the analyzed public data can be accessed from the website recount.bio/data (preprocessed HM450K array data: https://recount.bio/data/remethdb_h5se-gm_epic_0-0-2_1589820348/; preprocessed EPIC array data: https://recount.bio/data/remethdb_h5se-gm_epic_0-0-2_1589820348/). SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics Advances online.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.1093/bioadv/vbad020,"DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;DNA, B-Form;DNA, A-Form;Methylation",36874953,PMC9976962
rayyan-1000417511,Meta-analysis of epigenome-wide association studies in neonates reveals widespread differential DNA methylation associated with birthweight.,2019,4,23,Nature communications,2041-1723 (Electronic),10,1,1893,Küpers LK and Monnereau C and Sharp GC and Yousefi P and Salas LA and Ghantous A and Page CM and Reese SE and Wilcox AJ and Czamara D and Starling AP and Novoloaca A and Lent S and Roy R and Hoyo C and Breton CV and Allard C and Just AC and Bakulski KM and Holloway JW and Everson TM and Xu CJ and Huang RC and van der Plaat DA and Wielscher M and Merid SK and Ullemar V and Rezwan FI and Lahti J and van Dongen J and Langie SAS and Richardson TG and Magnus MC and Nohr EA and Xu Z and Duijts L and Zhao S and Zhang W and Plusquin M and DeMeo DL and Solomon O and Heimovaara JH and Jima DD and Gao L and Bustamante M and Perron P and Wright RO and Hertz-Picciotto I and Zhang H and Karagas MR and Gehring U and Marsit CJ and Beilin LJ and Vonk JM and Jarvelin MR and Bergström A and Örtqvist AK and Ewart S and Villa PM and Moore SE and Willemsen G and Standaert ARL and Håberg SE and Sørensen TIA and Taylor JA and Räikkönen K and Yang IV and Kechris K and Nawrot TS and Silver MJ and Gong YY and Richiardi L and Kogevinas M and Litonjua AA and Eskenazi B and Huen K and Mbarek H and Maguire RL and Dwyer T and Vrijheid M and Bouchard L and Baccarelli AA and Croen LA and Karmaus W and Anderson D and de Vries M and Sebert S and Kere J and Karlsson R and Arshad SH and Hämäläinen E and Routledge MN and Boomsma DI and Feinberg AP and Newschaffer CJ and Govarts E and Moisse M and Fallin MD and Melén E and Prentice AM and Kajantie E and Almqvist C and Oken E and Dabelea D and Boezen HM and Melton PE and Wright RJ and Koppelman GH and Trevisi L and Hivert MF and Sunyer J and Munthe-Kaas MC and Murphy SK and Corpeleijn E and Wiemels J and Holland N and Herceg Z and Binder EB and Davey Smith G and Jaddoe VWV and Lie RT and Nystad W and London SJ and Lawlor DA and Relton CL and Snieder H and Felix JF,https://pubmed.ncbi.nlm.nih.gov/31015461/,eng,,England,"Birthweight is associated with health outcomes across the life course, DNA methylation may be an underlying mechanism. In this meta-analysis of epigenome-wide association studies of 8,825 neonates from 24 birth cohorts in the Pregnancy And Childhood Epigenetics Consortium, we find that DNA methylation in neonatal blood is associated with birthweight at 914 sites, with a difference in birthweight ranging from -183 to 178 grams per 10% increase in methylation (P(Bonferroni) < 1.06 x 10(-7)). In additional analyses in 7,278 participants, <1.3% of birthweight-associated differential methylation is also observed in childhood and adolescence, but not adulthood. Birthweight-related CpGs overlap with some Bonferroni-significant CpGs that were previously reported to be related to maternal smoking (55/914, p = 6.12 x 10(-74)) and BMI in pregnancy (3/914, p = 1.13x10(-3)), but not with those related to folate levels in pregnancy. Whether the associations that we observe are causal or explained by confounding or fetal growth influencing DNA methylation (i.e. reverse causality) requires further research.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-LABELS: Meta-analysis | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.1038/s41467-019-09671-3,"Adolescent;Adult;Birth Weight/*genetics;Body Mass Index;Child;CpG Islands;DNA/genetics/*metabolism;DNA Methylation;*Epigenesis, Genetic;Female;Fetal Development/genetics;Fetus;Folic Acid/blood;*Genome, Human;Genome-Wide Association Study;Humans;Infant, Newborn;Male;Pregnancy;Prenatal Exposure Delayed Effects/blood/etiology/genetics/physiopathology;Smoking/adverse effects/blood/genetics;DNA (Cytosine-5-)-Methyltransferase",31015461,PMC6478731
rayyan-1000417515,Associations of Alcohol Consumption With Epigenome-Wide DNA Methylation and Epigenetic Age Acceleration: Individual-Level and Co-twin Comparison Analyses.,2021,2,,"Alcoholism, clinical and experimental research",1530-0277 (Electronic),45,2,318-328,Stephenson M and Bollepalli S and Cazaly E and Salvatore JE and Barr P and Rose RJ and Dick D and Kaprio J and Ollikainen M,https://pubmed.ncbi.nlm.nih.gov/33277923/,eng,,England,"BACKGROUND: DNA methylation may play a role in the progression from normative to problematic drinking and underlie adverse health outcomes associated with alcohol misuse. We examined the association between alcohol consumption and DNA methylation patterns using 3 approaches: a conventional epigenome-wide association study (EWAS); a co-twin comparison design, which controls for genetic and environmental influences that twins share; and a regression of age acceleration, defined as a discrepancy between chronological age and DNA methylation age, on alcohol consumption. METHODS: Participants came from the Finnish Twin Cohorts (FinnTwin12/FinnTwin16; N = 1,004; 55% female; average age = 23 years). Individuals reported the number of alcoholic beverages consumed in the past week, and epigenome-wide DNA methylation was assessed in whole blood using the Infinium HumanMethylation450 BeadChip. RESULTS: In the EWAS, alcohol consumption was significantly related to methylation at 24 CpG sites. When evaluating whether differences between twin siblings (185 monozygotic pairs) in alcohol consumption predicted differences in DNA methylation, co-twin comparisons replicated 4 CpG sites from the EWAS and identified 23 additional sites. However, when we examined qualitative differences in drinking patterns between twins (heavy drinker vs. light drinker/abstainer or moderate drinker vs. abstainer; 44 pairs), methylation patterns did not significantly differ within twin pairs. Finally, individuals who reported higher alcohol consumption also exhibited greater age acceleration, though results were no longer significant after controlling for genetic and environmental influences shared by co-twins. CONCLUSIONS: Our analyses offer insight into the associations between epigenetic variation and levels of alcohol consumption in young adulthood.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: alcohol",10.1111/acer.14528,"Adult;Aging/blood/*genetics;Alcohol Drinking/blood/epidemiology/*genetics;Cohort Studies;Cross-Sectional Studies;DNA Methylation/*physiology;Epigenesis, Genetic/physiology;Epigenome/*physiology;Female;Finland/epidemiology;Genome-Wide Association Study/methods;Humans;Longitudinal Studies;Male;Twins, Dizygotic/*genetics;Twins, Monozygotic/*genetics;Young Adult;DNA (Cytosine-5-)-Methyltransferase;Twins;Alcoholics",33277923,PMC8120951
rayyan-1000417516,Gaseous air pollutants and DNA methylation in a methylome-wide association study of an ethnically and environmentally diverse population of U.S. adults.,2022,9,,Environmental research,1096-0953 (Electronic),212,,113360,Holliday KM and Gondalia R and Baldassari A and Justice AE and Stewart JD and Liao D and Yanosky JD and Jordahl KM and Bhatti P and Assimes TL and Pankow JS and Guan W and Fornage M and Bressler J and North KE and Conneely KN and Li Y and Hou L and Vokonas PS and Ward-Caviness CK and Wilson R and Wolf K and Waldenberger M and Cyrys J and Peters A and Boezen HM and Vonk JM and Sayols-Baixeras S and Lee M and Baccarelli AA and Whitsel EA,https://pubmed.ncbi.nlm.nih.gov/35500859/,eng,,Netherlands,"Epigenetic mechanisms may underlie air pollution-health outcome associations. We estimated gaseous air pollutant-DNA methylation (DNAm) associations using twelve subpopulations within Women's Health Initiative (WHI) and Atherosclerosis Risk in Communities (ARIC) cohorts (n = 8397; mean age 61.3 years; 83% female; 46% African-American, 46% European-American, 8% Hispanic/Latino). We used geocoded participant address-specific mean ambient carbon monoxide (CO), nitrogen oxides (NO(2); NOx), ozone (O(3)), and sulfur dioxide (SO(2)) concentrations estimated over the 2-, 7-, 28-, and 365-day periods before collection of blood samples used to generate Illumina 450 k array leukocyte DNAm measurements. We estimated methylome-wide, subpopulation- and race/ethnicity-stratified pollutant-DNAm associations in multi-level, linear mixed-effects models adjusted for sociodemographic, behavioral, meteorological, and technical covariates. We combined stratum-specific estimates in inverse variance-weighted meta-analyses and characterized significant associations (false discovery rate; FDR<0.05) at Cytosine-phosphate-Guanine (CpG) sites without among-strata heterogeneity (P(Cochran's Q) > 0.05). We attempted replication in the Cooperative Health Research in Region of Augsburg (KORA) study and Normative Aging Study (NAS). We observed a -0.3 (95% CI: -0.4, -0.2) unit decrease in percent DNAm per interquartile range (IQR, 7.3 ppb) increase in 28-day mean NO(2) concentration at cg01885635 (chromosome 3; regulatory region 290 bp upstream from ZNF621; FDR = 0.03). At intragenic sites cg21849932 (chromosome 20; LIME1; intron 3) and cg05353869 (chromosome 11; KLHL35; exon 2), we observed a -0.3 (95% CI: -0.4, -0.2) unit decrease (FDR = 0.04) and a 1.2 (95% CI: 0.7, 1.7) unit increase (FDR = 0.04), respectively, in percent DNAm per IQR (17.6 ppb) increase in 7-day mean ozone concentration. Results were not fully replicated in KORA and NAS. We identified three CpG sites potentially susceptible to gaseous air pollution-induced DNAm changes near genes relevant for cardiovascular and lung disease. Further harmonized investigations with a range of gaseous pollutants and averaging durations are needed to determine the effect of gaseous air pollutants on DNA methylation and ultimately gene expression.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: air pollution",10.1016/j.envres.2022.113360,Adult;*Air Pollutants/analysis/toxicity;*Air Pollution/analysis;DNA Methylation;Epigenome;Female;Humans;Male;Middle Aged;Nitrogen Dioxide/analysis;*Ozone/analysis/toxicity;Particulate Matter/analysis;DNA (Cytosine-5-)-Methyltransferase;Methylation,35500859,PMC9354583
rayyan-1000417517,Smoking-associated DNA methylation markers predict lung cancer incidence.,2016,,,Clinical epigenetics,1868-7083 (Electronic),8,,127,Zhang Y and Elgizouli M and Schöttker B and Holleczek B and Nieters A and Brenner H,https://pubmed.ncbi.nlm.nih.gov/27924164/,eng,,Germany,"BACKGROUND: Newly established blood DNA methylation markers that are strongly associated with smoking might open new avenues for lung cancer (LC) screening. We aimed to assess the performance of the top hits from previous epigenome-wide association studies in prediction of LC incidence. In a prospective nested case-control study, DNA methylation at AHRR (cg05575921), 6p21.33 (cg06126421), and F2RL3 (cg03636183) were measured by pyrosequencing in baseline whole blood samples of 143 incident LC cases identified during 11 years of follow-up and 457 age- and sex-matched controls without diagnosis of LC until the end of follow-up. The individual and joint associations of the 3 markers with LC risk were estimated by logistic regression, adjusted for potential confounders including smoking status and cigarette pack-years. The predictive performance was evaluated for both the individual markers and their combinations derived from multiple algorithms. RESULTS: Pronounced demethylation of all 3 markers was observed at baseline among cases compared to controls. Risk of developing LC increased with decreasing DNA methylation levels, with adjusted ORs (95% CI) of 15.86 (4.18-60.17), 8.12 (2.69-4.48), and 10.55 (3.44-32.31), respectively, for participants in the lowest quartile of AHRR, 6p21.33, and F2RL3 compared to participants in the highest 2 quartiles of each site among controls. The individual 3 markers exhibited similar accuracy in predicting LC incidence, with AUCs ranging from 0.79 to 0.81. Combination of the 3 markers did not improve the predictive performance (AUC = 0.80). The individual markers or their combination outperformed self-reported smoking exposure particularly in light smokers. No variation in risk prediction was identified with respect to age, follow-up time, and histological subtypes. CONCLUSIONS: AHRR, 6p21.33, and F2RL3 methylation in blood DNA are predictive for LC development, which might be useful for identification of risk groups for further specific screening, such as CT examination.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-LABELS: smoking | RAYYAN-EXCLUSION-REASONS: No EWAS,No environmental factor",10.1186/s13148-016-0292-4,"Aged;Basic Helix-Loop-Helix Transcription Factors/*genetics;Case-Control Studies;Chromosomes, Human, Pair 16/*genetics;*DNA Methylation;Epigenesis, Genetic;Female;Genetic Markers/genetics;Genetic Predisposition to Disease;Humans;Incidence;Logistic Models;Lung Neoplasms/*epidemiology/genetics;Male;Middle Aged;Prospective Studies;Receptors, Thrombin/*genetics;Repressor Proteins/*genetics;Sequence Analysis, DNA/methods;Smoking/*genetics;DNA (Cytosine-5-)-Methyltransferase;Smoke;Lung Neoplasms;Lung;Methylation",27924164,PMC5123284
rayyan-1000417519,DNA methylation signatures of aggression and closely related constructs: A meta-analysis of epigenome-wide studies across the lifespan.,2021,6,,Molecular psychiatry,1476-5578 (Electronic),26,6,2148-2162,van Dongen J and Hagenbeek FA and Suderman M and Roetman PJ and Sugden K and Chiocchetti AG and Ismail K and Mulder RH and Hafferty JD and Adams MJ and Walker RM and Morris SW and Lahti J and Küpers LK and Escaramis G and Alemany S and Jan Bonder M and Meijer M and Ip HF and Jansen R and Baselmans BML and Parmar P and Lowry E and Streit F and Sirignano L and Send TS and Frank J and Jylhävä J and Wang Y and Mishra PP and Colins OF and Corcoran DL and Poulton R and Mill J and Hannon E and Arseneault L and Korhonen T and Vuoksimaa E and Felix JF and Bakermans-Kranenburg MJ and Campbell A and Czamara D and Binder E and Corpeleijn E and Gonzalez JR and Grazuleviciene R and Gutzkow KB and Evandt J and Vafeiadi M and Klein M and van der Meer D and Ligthart L and Kluft C and Davies GE and Hakulinen C and Keltikangas-Järvinen L and Franke B and Freitag CM and Konrad K and Hervas A and Fernández-Rivas A and Vetro A and Raitakari O and Lehtimäki T and Vermeiren R and Strandberg T and Räikkönen K and Snieder H and Witt SH and Deuschle M and Pedersen NL and Hägg S and Sunyer J and Franke L and Kaprio J and Ollikainen M and Moffitt TE and Tiemeier H and van IJzendoorn MH and Relton C and Vrijheid M and Sebert S and Jarvelin MR and Caspi A and Evans KL and McIntosh AM and Bartels M and Boomsma DI,https://pubmed.ncbi.nlm.nih.gov/33420481/,eng,,England,"DNA methylation profiles of aggressive behavior may capture lifetime cumulative effects of genetic, stochastic, and environmental influences associated with aggression. Here, we report the first large meta-analysis of epigenome-wide association studies (EWAS) of aggressive behavior (N = 15,324 participants). In peripheral blood samples of 14,434 participants from 18 cohorts with mean ages ranging from 7 to 68 years, 13 methylation sites were significantly associated with aggression (alpha = 1.2 × 10(-7); Bonferroni correction). In cord blood samples of 2425 children from five cohorts with aggression assessed at mean ages ranging from 4 to 7 years, 83% of these sites showed the same direction of association with childhood aggression (r = 0.74, p = 0.006) but no epigenome-wide significant sites were found. Top-sites (48 at a false discovery rate of 5% in the peripheral blood meta-analysis or in a combined meta-analysis of peripheral blood and cord blood) have been associated with chemical exposures, smoking, cognition, metabolic traits, and genetic variation (mQTLs). Three genes whose expression levels were associated with top-sites were previously linked to schizophrenia and general risk tolerance. At six CpGs, DNA methylation variation in blood mirrors variation in the brain. On average 44% (range = 3-82%) of the aggression-methylation association was explained by current and former smoking and BMI. These findings point at loci that are sensitive to chemical exposures with potential implications for neuronal functions. We hope these results to be a starting point for studies leading to applications as peripheral biomarkers and to reveal causal relationships with aggression and related traits.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-LABELS: agression,Meta-analysis | RAYYAN-EXCLUSION-REASONS: Not updated environmental exposure",10.1038/s41380-020-00987-x,"Adolescent;Adult;Aged;Aggression;Child;Child, Preschool;CpG Islands/genetics;*DNA Methylation/genetics;Epigenesis, Genetic/genetics;*Epigenome;Genome-Wide Association Study;Humans;Longevity;Middle Aged;Young Adult;DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;DNA;Methylation;DNA Methylation",33420481,PMC8263810
rayyan-1000417520,"Blood DNA methylation sites predict death risk in a longitudinal study of 12, 300 individuals.",2020,7,22,Aging,1945-4589 (Electronic),12,14,14092-14124,Colicino E and Marioni R and Ward-Caviness C and Gondalia R and Guan W and Chen B and Tsai PC and Huan T and Xu G and Golareh A and Schwartz J and Vokonas P and Just A and Starr JM and McRae AF and Wray NR and Visscher PM and Bressler J and Zhang W and Tanaka T and Moore AZ and Pilling LC and Zhang G and Stewart JD and Li Y and Hou L and Castillo-Fernandez J and Spector T and Kiel DP and Murabito JM and Liu C and Mendelson M and Assimes T and Absher D and Tsaho PS and Lu AT and Ferrucci L and Wilson R and Waldenberger M and Prokisch H and Bandinelli S and Bell JT and Levy D and Deary IJ and Horvath S and Pankow J and Peters A and Whitsel EA and Baccarelli A,https://pubmed.ncbi.nlm.nih.gov/32697766/,eng,,United States,"DNA methylation has fundamental roles in gene programming and aging that may help predict mortality. However, no large-scale study has investigated whether site-specific DNA methylation predicts all-cause mortality. We used the Illumina-HumanMethylation450-BeadChip to identify blood DNA methylation sites associated with all-cause mortality for 12, 300 participants in 12 Cohorts of the Heart and Aging Research in Genetic Epidemiology (CHARGE) Consortium. Over an average 10-year follow-up, there were 2,561 deaths across the cohorts. Nine sites mapping to three intergenic and six gene-specific regions were associated with mortality (P < 9.3x10(-7)) independently of age and other mortality predictors. Six sites (cg14866069, cg23666362, cg20045320, cg07839457, cg07677157, cg09615688)-mapping respectively to BMPR1B, MIR1973, IFITM3, NLRC5, and two intergenic regions-were associated with reduced mortality risk. The remaining three sites (cg17086398, cg12619262, cg18424841)-mapping respectively to SERINC2, CHST12, and an intergenic region-were associated with increased mortality risk. DNA methylation at each site predicted 5%-15% of all deaths. We also assessed the causal association of those sites to age-related chronic diseases by using Mendelian randomization, identifying weak causal relationship between cg18424841 and cg09615688 with coronary heart disease. Of the nine sites, three (cg20045320, cg07839457, cg07677157) were associated with lower incidence of heart disease risk and two (cg20045320, cg07839457) with smoking and inflammation in prior CHARGE analyses. Methylation of cg20045320, cg07839457, and cg17086398 was associated with decreased expression of nearby genes (IFITM3, IRF, NLRC5, MT1, MT2, MARCKSL1) linked to immune responses and cardiometabolic diseases. These sites may serve as useful clinical tools for mortality risk assessment and preventative care.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.18632/aging.103408,"Adult;Aged;Aging;Cause of Death;Chromosome Mapping;Chronic Disease/epidemiology;Cohort Studies;DNA Methylation/*genetics;Epigenesis, Genetic;Female;Follow-Up Studies;Genome-Wide Association Study;Humans;Longitudinal Studies;Male;Meta-Analysis as Topic;Middle Aged;*Predictive Value of Tests;Quantitative Trait Loci;Risk Assessment;DNA (Cytosine-5-)-Methyltransferase;DNA-(Apurinic or Apyrimidinic Site) Lyase;Methylation;DNA",32697766,PMC7425458
rayyan-1000417521,Epigenome-Wide Association Study Using Prediagnostic Bloods Identifies New Genomic Regions Associated With Pancreatic Cancer Risk.,2020,10,,JNCI cancer spectrum,2515-5091 (Electronic),4,5,pkaa041,Michaud DS and Ruan M and Koestler DC and Pei D and Marsit CJ and De Vivo I and Kelsey KT,https://pubmed.ncbi.nlm.nih.gov/33134824/,eng,,England,"BACKGROUND: Epigenome-wide association studies using peripheral blood have identified specific sites of DNA methylation associated with risk of various cancers and may hold promise to identify novel biomarkers of risk; however, few studies have been performed for pancreatic cancer and none using a prospective study design. METHODS: Using a nested case-control study design, incident pancreatic cancer cases and matched controls were identified from participants who provided blood at baseline in 3 prospective cohort studies. DNA methylation levels were measured in DNA extracted from leukocytes using the Illumina MethylationEPIC array. Average follow-up period for this analysis was 13 years. RESULTS: Several new genomic regions were identified as being differentially methylated in cases and controls; the 5 strongest associations were observed for CpGs located in genes TMEM204/IFT140, MFSD6L, FAM134B/RETREG1, KCNQ1D, and C6orf227. For some CpGs located in chromosome 16p13.3 (near genes TMEM204 and IFT140), associations were stronger with shorter time to diagnosis (eg, odds ratio [OR] = 5.95, 95% confidence interval [CI] = 1.52 to 23.12, for top vs bottom quartile, for <5 years between blood draw and cancer diagnosis), but associations remained statistically significantly higher even when cases were diagnosed over 10 years after blood collection. Statistically significant differences in DNA methylation levels were also observed in the gastric secretion pathway using Gene Set Enrichment Analysis (GSEA) analysis. CONCLUSIONS: Changes in DNA methylation in peripheral blood may mark alterations in metabolic or immune pathways that play a role in pancreatic cancer. Identifying new biological pathways in carcinogenesis of pancreatic cancer using epigenome-wide association studies approach could provide new opportunities for improving treatment and prevention.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No environmental factor",10.1093/jncics/pkaa041,Pancreatic Neoplasms;Genome;Epigenomics;Genomics,33134824,PMC7583152
rayyan-1000417522,Epigenetic changes associated with hyperglycaemia exposure in the longitudinal D.E.S.I.R. cohort.,2022,7,,Diabetes & metabolism,1878-1780 (Electronic),48,4,101347,Khamis A and Ning L and Balkau B and Bonnefond A and Canouil M and Roussel R and Froguel P,https://pubmed.ncbi.nlm.nih.gov/35427775/,eng,,France,"AIM: - Understanding DNA methylation dynamics associated with progressive hyperglycaemia exposure could provide early diagnostic biomarkers and an avenue for delaying type 2 diabetes mellitus (T2DM). We aimed to identify DNA methylation changes during a 6-year period associated with early hyperglycaemia exposure using the longitudinal D.E.S.I.R. METHODS: - We selected individuals with progressive hyperglycaemia exposure based on T2DM diagnostic criteria: 27 with long-term exposure, 34 with short-term exposure and 34 normoglycaemic controls. DNA from blood at inclusion and at the 6-year visit was subjected to methylation analysis using 850K methylation-EPIC arrays. A linear mixed model was used to perform an epigenome-wide association study (EWAS) and identify methylated changes associated with hyperglycaemia exposure during a 6-year time-period. RESULTS: - We did not identify differentially methylated sites that reached false discovery rate (FDR)-significance in our cohort. Based on EWAS, we focused our analysis on methylation sites that had a constant effect during the 6 years across the hyperglycaemia groups compared to controls and found the most statistically significant site was the reported cg19693031 probe (TXNIP). We also performed an EWAS with HbA1c, using the inclusion and the 6-year methylation data and did not identify any FDR-significant CpGs. CONCLUSIONS: - Our study reveals that DNA methylation changes are not robustly associated with hyperglycaemia exposure or HbA1c during a short-term period, however, our top loci indicate potential interest and should be replicated in larger cohorts.","RAYYAN-INCLUSION: {""Jari""=>""Excluded""} | RAYYAN-LABELS: hyperglycaemia exposure | RAYYAN-EXCLUSION-REASONS: Not updated environmental exposure",10.1016/j.diabet.2022.101347,"CpG Islands;DNA Methylation/genetics;*Diabetes Mellitus, Type 2/epidemiology/genetics;Epigenesis, Genetic;Genome-Wide Association Study;Glycated Hemoglobin;Humans;*Hyperglycemia/genetics;Epigenomics",35427775,
